,Title,Subtitle,Location,Date,Content,Link
0,Credit Suisse publishes answers to Ethos Foundation information request,Ad hoc announcement pursuant to article 53 LR,Zurich,04.04.2022,"Credit Suisse Group AG today published the answers provided to Ethos Foundation and other shareholders following an information request concerning the supply chain finance funds and the ""Suisse Secrets"" (also referred to as ""Swiss Leaks"") matters.
As announced on March 30, 2022, the answers provided to Ethos Foundation are publicly available at: www.credit-suisse.com/agm.",https://www.credit-suisse.com/articles/media-releases/2022/04/en/cs-publishes-answers-to-ethos-foundation-information-request.html
1,Credit Suisse publishes agenda for the 2022 Annual General Meeting of Shareholders,Ad hoc announcement pursuant to article 53 LR,Zurich,30.03.2022,"Credit Suisse Group AG today published the agenda for the Annual General Meeting of Shareholders (AGM), which will take place on April 29, 2022. As previously communicated, this year’s AGM will be held without the personal attendance of shareholders.
Credit Suisse invites shareholders to join the AGM through a live webcast that will be broadcast on www.credit-suisse.com/agm. Shareholders are requested to vote in advance by giving a power of attorney and voting instructions to the independent proxy. The respective deadline is April 26, 2022. The voting results will be published on www.credit-suisse.com/agm shortly after the AGM. Shareholders can submit questions ahead of the AGM via an online speakers’ desk, which will remain open until April 26, 2022.
The agenda for the 2022 AGM, published today by the Board of Directors of Credit Suisse Group AG (Board), includes but is not limited to:
Proposal on discharge of the members of the Board and the Executive Board for both the 2020 and 2021 financial years, excluding discharge in relation to the supply chain finance funds (SCFF) matter.
Proposal for a distribution of a dividend to shareholders of CHF 0.10 per share for the financial year 2021.
Creation of authorized capital.
Proposal for the election of Axel P. Lehmann as Chairman of the Board as well as the election of three new non-executive members of the Board, Mirko Bianchi, Keyu Jin and Amanda Norton.
Approval of the compensation of the Board and the Executive Board, as well as a consultative vote on the 2021 Compensation Report.
Shareholder proposal for a special audit.
Shareholder proposal for an amendment of the Articles of Association of Credit Suisse Group AG relating to the bank’s climate change strategy and disclosures (fossil fuel assets).
The invitation and agenda for the 2022 AGM are available on the Credit Suisse website at: www.credit-suisse.com/agm.
Discharge of the members of the Board and Executive Board for the 2020 and 2021 financial year, excluding the SCFF matter
The Board proposes that the members of the Board and the Executive Board be granted discharge for the 2020 and 2021 financial years, excluding all issues related to the SCFF matter. As a result of the Archegos and SCFF matters, the Board withdrew its proposal on the discharge of the members of the Board and the Executive Board for the 2020 financial year from the 2021 AGM agenda. The proposal was to be considered once the investigations into the two matters were completed. The investigation into both matters has been completed and the report relating to the Archegos matter was published. However, due to the ongoing process to recover investors’ funds, the legal complexities of the SCFF matter, as well as an ongoing regulatory investigation by FINMA, the Board does not intend to publish the related report. It therefore does not recommend proposing discharge with respect to this matter until the related processes are largely concluded.
Dividend distribution
As previously announced, the Board will propose to shareholders that a total cash dividend of CHF 0.10 per share be distributed for the financial year 2021. This is consistent with the reduced dividend paid for the financial year 2020, and we believe it reflects a prudent capital distribution approach for a challenging year.
Creation of authorized capital
Consistent with past practice, the Board proposes to reintroduce authorized share capital amounting to a maximum of CHF 5 million (equivalent to 125,000,000 registered shares) in order to preserve strategic and financial flexibility, including for a further development of business activities, and ensure a sufficient reserve of authorized capital, in line with regulatory expectations.
Changes to the Board
As previously announced, the Board is proposing Axel P. Lehmann for election as Chairman of the Board, and Mirko Bianchi, Keyu Jin and Amanda Norton for election as non-executive members of the Board, for a term until the end of the next AGM, with Amanda Norton joining the Board on July 1, 2022. The appointment of these three non-executive members of the Board is subject to regulatory approval.
Severin Schwan, Kai S. Nargolwala and Juan Colombas will not stand for re-election at the AGM.
All other members of the Board will stand for re-election for a further term of office of one year.
Approval of the compensation of the Board and the Executive Board and consultative vote on the 2021 Compensation Report
In accordance with the requirements of the Ordinance against Excessive Compensation with respect to Listed Stock Corporations, shareholders will vote separately, and with binding effect, on the overall compensation of the Board and the Executive Board at the AGM. The Board proposes that shareholders approve a maximum aggregate compensation for the Board of CHF 13.0 million for the period from the 2022 AGM to the 2023 AGM in a prospective vote.
The Board further proposes that shareholders approve the aggregate amount of CHF 8.6 million for short-term variable incentive compensation for the Executive Board for the 2021 financial year in a retrospective vote and the maximum aggregate amount of CHF 34.0 million of fixed compensation for the Executive Board for the period from the 2022 AGM to the 2023 AGM in a prospective vote. The Board also proposes that shareholders approve the aggregate amount of CHF 12.1 million for share-based replacement awards for new Executive Board members who joined the bank in 2022.
Consistent with the practice in prior years, the 2021 Compensation Report, which is part of Credit Suisse Group AG’s Annual Report, will be presented to shareholders for a consultative vote.
Shareholder proposal for a special audit
In March 2022, the Board received a proposal from Ethos Foundation and other shareholders requesting information and that a special audit be conducted in connection with the SCFF and the “Suisse Secrets” (also referred to as “Swiss Leaks”) matters. The Board has responded to the request for information with answers, which will be available on the Credit Suisse website at: www.credit-suisse.com/agm in the week of April 4, 2022. In light of the ongoing recovery processes in the SCFF matter, as well as legal and regulatory complexities, the Board believes that a special audit would, at this stage, be detrimental to Credit Suisse and that additional, related disclosure would prejudice the outcome of the recovery processes in particular. The Board therefore recommends that shareholders should not approve this specific proposal.
Shareholder proposal for an amendment of the Articles of Association of Credit Suisse Group AG relating to the bank’s climate change strategy and disclosures (fossil fuel assets)
The Board has received a shareholder proposal from Ethos Foundation and ShareAction on behalf of 11 institutional investors relating to Credit Suisse’s climate change strategy and disclosures. The specific focus of the proposal is on alignment, disclosure and reporting in relation to the oil, gas and coal sectors. The request proposes that the Articles of Association of Credit Suisse Group AG be amended to include a new article. While the Board agrees with the objectives of this proposal, it does not believe that these additional disclosures should be effectuated by means of an amendment to the Articles of Association of the bank. The Board has already resolved to include the additional disclosures requested in the shareholder proposal in Credit Suisse’s 2022 Sustainability Report (or Task Force on Climate-related Financial Disclosures (TCFD) disclosures) and to submit the 2022 Sustainability Report (or TCFD disclosures) for a consultative vote to shareholders at the 2023 AGM. In addition, Credit Suisse has decided to introduce new restrictions related to the financing of oil sands, deep-sea mining and Arctic oil and gas. Furthermore, due to newly introduced Swiss law reporting obligations on non-financial matters, which go into effect for the 2023 financial year, the Board intends to propose the required changes to the Articles of Association at the 2023 AGM. The Board therefore recommends that shareholders should vote against this proposal.
1Q22 Earnings Release
Credit Suisse expects to announce its financial results for the first quarter of 2022 on April 27, 2022.",https://www.credit-suisse.com/articles/media-releases/2022/03/en/agm-2022-invitation.html
2,Decision by a Court in Bermuda,,Zurich,29.03.2022,"Credit Suisse Group takes note of the Bermuda Supreme Court’s judgment against a local life insurance subsidiary of Credit Suisse AG, Credit Suisse Life Bermuda, and refers to its press release of March 23, 2022.
The judgment relates to life insurance policies of one client of Credit Suisse Life Bermuda. The life insurance subsidiary has been closed to new business and in wind-down for more than seven years and has no other material business that will be affected by this judgment.
The judgment is not yet final and is subject to appeal, which Credit Suisse Life Bermuda intends to vigorously pursue.",https://www.credit-suisse.com/articles/media-releases/2022/03/en/decision-court-bermuda.html
3,Credit Suisse acts as Sole Conservation Bond Structurer on World Bank's 'Rhino Bond',,London,24.03.2022,"This is a financial promotion - investments in this bond will put capital at risk if not held to maturity.
Credit Suisse is pleased to announce the pricing of the World Bank's Wildlife Conservation Bond (WCB), also known as the 'Rhino Bond', raising USD 150 mn for sustainable development projects and approximately USD 10 mn (ZAR 152 mn) directed towards conservation efforts in South Africa. The bank acted as sole conservation bond structurer and a joint bookrunner on this new type of bond that has a maturity of 5 years.
The WCB, which priced yesterday, is a first-of-its-kind structure that has the potential to shift the conservation funding model, harnessing donor funds in a blended finance approach to mobilize private sector funding through traditional debt capital markets.
The bond supports conservation finance through an outcome-driven bond, issued by the World Bank (International Bank for Reconstruction and Development (IBRD)) by channeling coupon amounts to delivering specific outcomes. In this case, the desired outcome is biodiversity performance which is determined based on an increase in the black rhinoceros' populations in target protected areas in South Africa. Black rhinoceroses are categorized as critically endangered species, the next categorization being extinct in the wild, and their shrinking population reflects broader issues in biodiversity and conservation.
This Sustainable Development Bond is issued off the IBRD's Global Debt Issuance Facility. Proceeds from the USD 150 mn bond will be used for the World Bank's sustainable development projects and programs. Instead of paying coupons on the WCB, approximately USD 10 mn, will be paid to two South African protected conservation areas: Addo Elephant National Park and Great Fish River Nature Reserve. The black rhinoceros' populations in both parks represent a meaningful proportion of South Africa's rhinoceroses. Funds paid in lieu of the coupons will be used only for predefined conservation interventions and the rhinoceros population growth rate at each site will be assessed over the period and independently verified. The World Bank will pay investors the bond principal, which is not linked to rhinoceros population growth, as well as a Conservation Success Payment linked to the growth rate in the rhinoceros population funded by the Global Environment Facility, which is the outcome payer in this transaction. This structure transfers the outcome risk to private investors, who stand to gain a contingent success payment dependent upon biodiversity performance, allowing these key stakeholders to participate in biodiversity conservation with capital protection.
From an environmental perspective, it is hoped that the bond will:
Secure the current population of rhinoceroses and encourage further population growth
Protect broader biodiversity and support improvements in planetary health through improved management effectiveness of the ecosystems that rhinos inhabit
Change conservation funding strategies, providing a model of investment for investors looking for a financial return while supporting biodiversity conservation
In addition to the environmental impact, the bond aims to deliver social benefits by catalyzing social-economic development in South Africa's Eastern Cape province, including by creating jobs in a sector that has been significantly impacted by the COVID-19 pandemic.
Oliver Withers, Biodiversity Lead within Global Sustainability at Credit Suisse, said: ""The WCB model provides a new blueprint for the way conservation is financed and has the potential to be a key enabling tool for the delivery of the post-2020 Global Biodiversity Framework. It will draw in private sector investment into conservation and biodiversity, a pressing environmental concern globally, and we are hopeful that this structure can be replicated across various geographies and for the conservation of various species. We are delighted to have been a part of the collaborative effort to bring this innovative transaction to life.""
Michael Bennett, Manager for Market Solutions and Structured Finance, World Bank Treasury, said: ""This outcome-based bond mobilizes much needed private capital for conservation, leveraging the World Banks regular bond issuance platform, triple-A rating, and track record of innovation in capital markets to test a new financing model that links the investment return of a bond to conservation outcomes.""
Jens Welter, Global Co-Head of Banking and Head of Investment Banking Capital Markets for EMEA at Credit Suisse, said: ""We are pleased to have been a part of this innovation in capital markets to help create and distribute an investable debt instrument designed to have a meaningful impact on conserving an endangered species. Importantly, we see the WCB as a steppingstone, one that provides the market with a framework to channel the power and scrutiny of capital markets towards identifying projects and refining strategies to address some of the world's most challenging and pressing environmental and social issues.""
Dr Andrew Terry at the Zoological Society of London (ZSL) said: ""The launch of the Wildlife Conservation Bond – the world's first financial instrument dedicated to protecting a species -- is a watershed moment for wildlife conservation. ZSL has spent more than five years working with many outstanding organisations to lay the groundwork for this innovative new financing mechanism that will bring a much-needed injection of new and long-lasting capital into rhino conservation efforts in Africa and help put nature at the heart of financial decision making.""
In addition to being the issuer, IBRD is an implementing agency of the Global Environmental Facility, which is the outcomes payer, providing the grant to pay for outcomes up to the maximum Conservation Success Payment to be paid to investors subject to the Rhino Population Growth Rate. Conservation Alpha Southern Africa is acting as the Rhino Population Growth Rate Calculation Agent appointed by the Issuer; it will be working closely with the Verification Agent, ZSL, also appointed by the Issuer, to facilitate the verification process. The scientific and best-practice foundations for the WCB were laid by the Rhino Impact Investment Project, with funding and technical support from key conservation stakeholders including Fauna and Flora International, the IUCN Species Survival Commission African Rhino Specialist Group, Oak Foundation, Rufford Foundation, the UK Government through the Illegal Wildlife Trade Challenge Fund, The Royal Foundation of the Duke and Duchess of Cambridge, the World Wildlife Fund and ZSL.
Capital at Risk: the value of investments can go down as well as up.

This media release is approved by Credit Suisse (UK) Limited and does not constitute an offer or an invitation to any person to buy or sell any investment. Potential investors should seek to obtain appropriate financial advice. Credit Suisse (UK) Limited is authorised by the Prudential Regulation Authority and regulated by the Financial Conduct Authority and the Prudential Regulation Authority for the conduct of investment business in the United Kingdom. The registered address of Credit Suisse (UK) Limited is Five Cabot Square, London, E14 4QR.",https://www.credit-suisse.com/articles/media-releases/2022/03/en/rhino-bond.html
4,Credit Suisse Group Announcement,Ad hoc announcement pursuant to article 53 LR,Zurich,23.03.2022,"Credit Suisse Group announces that a court in Bermuda is expected to publish shortly a judgment against a local life insurance subsidiary of Credit Suisse AG, Credit Suisse Life Bermuda, potentially totalling in excess of USD 500 million.
Credit Suisse has previously taken reserves against this matter and intends to pursue all available legal actions. We will consider whether any further reserves are required as part of our first-quarter results due to be published on April 27, 2022.",https://www.credit-suisse.com/articles/media-releases/2022/03/en/update-on-trial-in-bermuda.html
5,Credit Suisse Group AG proposes new appointments to the Board of Directors,Ad hoc announcement pursuant to article 53 LR,Zurich,21.03.2022,"The Board of Directors (Board) is proposing Mirko Bianchi, Keyu Jin and Amanda (Mandy) Norton for election as non-executive members of the Board at the Annual General Meeting of Shareholders (AGM) to be held on April 29, 2022. Severin Schwan, Kai S. Nargolwala and Juan Colombas have informed the Board that they will not stand for re-election at the 2022 AGM. Christian Gellerstad will become Vice-Chair and Lead Independent Director. 
Severin Schwan, who joined the Board in 2014 and has acted as Vice-Chair and Lead Independent Director since 2017, has decided not to stand for re-election. Kai S. Nargolwala, who joined the Board in 2013 and has held the role of Chair of the Compensation Committee since 2017, and Juan Colombas, who joined recently, have also decided that they will not stand for re-election at the upcoming AGM. Christian Gellerstad, who joined the Board in 2019, will be appointed as Vice-Chair and Lead Independent Director as well as Chair of the Compensation Committee, taking over from Kai S. Nargolwala, subject to his re-election at the upcoming AGM. 
Axel P. Lehmann, Chairman of the Board of Directors, said: ""I would like to thank Severin, Kai and Juan for their respective invaluable contributions. Severin and Kai, in particular, deserve the highest recognition for having helped steer the company through some challenging periods with commitment, perseverance and dedication."" 
""At the same time, I am extremely pleased that Christian Gellerstad is prepared to accept the appointment of Vice-Chair and Lead Independent Director of the Board and Chair of the Compensation Committee, subject to his re-election at the upcoming AGM. Christian's profound business and financial industry expertise will help him oversee the strategic transformation of the bank, and in particular our growth ambitions for Wealth Management.""
The Board today further announced the nomination of Mirko Bianchi, Keyu Jin and Amanda (Mandy) Norton for election to the Board at the upcoming AGM. Subject to his election, the Board intends to appoint Mirko Bianchi as Chair of the Audit Committee. Mandy Norton would join the Board on July 1, 2022, subject to her election at the upcoming AGM. In addition, the Board intends to appoint the current Chair of the Audit Committee, Richard Meddings, as Chair of the Risk Committee, subject to his re-election at the upcoming AGM. He will succeed Axel Lehmann, who was appointed Chairman of the Board on January 16, 2022.
Mirko Bianchi was most recently at UniCredit, where he served in a number of finance roles such as group Chief Financial Officer for the bank in Milan. His most recent position at UniCredit was Chief Executive Officer of Wealth Management and Private Banking. Over 30 years, Mirko Bianchi has held senior rating and finance leadership roles in leading financial services companies across the globe such as UBS Group, Deutsche Bank and Moody's Investor Services. He has an MBA from Fordham University, New York, and an MSc in Chemical Engineering from ETH Zurich. Mirko Bianchi is a US and Swiss citizen. 
Keyu Jin is a professor of Economics at the London School of Economics, focusing on topics including global capital flows, international technology competition and China's growth model. She is a non-executive director of Richemont Group and Qingdao AInnovation venture. Keyu Jin was previously a visiting scholar at the International Monetary Fund, and she has taught at Yale University and UC Berkeley. She holds a BA, MA and PhD from Harvard University and is a Chinese citizen. 
Amanda (Mandy) Norton most recently served at Wells Fargo as group Chief Risk Officer. She brings with her over 30 years of experience in risk functions across financial services companies including various risk executive roles with JPMorgan Chase and Bank of America. Mandy Norton also served in senior roles at Ally Financial and Chase Manhattan Bank UK. She has a BSc in Mathematics and Statistics from the University of Bath. She is a US and British citizen. 
Axel Lehmann said: ""I am delighted that Mirko, Keyu and Mandy have been nominated to join our Board. Both Mirko and Mandy bring highly relevant banking, finance and risk experience, with careers spanning more than three decades in globally leading financial institutions. Keyu will further strengthen the Board's focus on the APAC growth region and position the Board closer to China's next generation and fintech development. I look forward to working with Christian as he takes on new responsibilities and with Mirko, Keyu and Mandy in their new roles as members of the Board.""
The appointments of Mirko Bianchi, Keyu Jin and Mandy Norton are subject to regulatory approval.
The Board intends to appoint the following individuals as Chairs of the Board of Directors' Committees subject to their election or re-election at the upcoming AGM: 
Chair of the Governance and Nomination Committee – Axel Lehmann 
Chair of the Audit Committee – Mirko Bianchi
Chair of the Compensation Committee – Christian Gellerstad
Chair of the Conduct and Financial Crime Control Committee – Clare Brady
Chair of the Risk Committee – Richard Meddings 
Chair of the Digital Transformation and Technology Committee – Blythe Masters
In light of Christian Gellerstad's appointment as Vice-Chair and Lead Independent Director of the Board of Credit Suisse Group AG, Peter Derendinger will continue to serve as Chairman of Credit Suisse (Schweiz) AG and Christian Gellerstad will remain a member of the Credit Suisse (Schweiz) AG Board. 
AGM proposals 
The further proposals to be put forth for shareholder vote at the 2022 AGM on April 29, 2022 will be published with the invitation and agenda for the 2022 AGM, which will be sent to shareholders and available on the Credit Suisse website approximately one month prior to the event at: www.credit-suisse.com/agm.",https://www.credit-suisse.com/articles/media-releases/2022/03/en/bod-changes.html
6,Credit Suisse celebrates the 25th year of the Asian Investment Conference as it explores the road ahead for the region over the next quarter century,"Celebrating its 25th anniversary, the Credit Suisse Asian Investment Conference (AIC) welcomes more than 3,000 attendees for a four-day conference commencing today. The attendees include over 2,000 representatives from the global investment community, who will connect virtually with senior executives from some 350 companies with a total market capitalization of over USD8 trillion, to explore what the next 25 years holds in store for the Asia Pacific (APAC) region.",Hong Kong,21.03.2022,"Themed “Metamorphosis 25”, the 2022 AIC will provide new insights into how the digitalization of everything from money to retail and a historic shift of capital towards sustainable investments will transform APAC over the next quarter century and beyond – and create opportunities for investors.
Helman Sitohang, CEO, Asia Pacific, Credit Suisse, said: “We are proud to celebrate the 25th anniversary of our Asian Investment Conference this year. For the past quarter century, the AIC has remained a firm resource for investors to better understand the driving forces behind Asia’s metamorphosis. Credit Suisse’s pivot to APAC is absolutely core to our strategy, and we will be with our valued clients every step of the way to help them find opportunities from the emerging trends shaping this vibrant region.""
The AIC debuted in Hong Kong amid the Asian Financial Crisis after 1997. Since then, APAC has become the powerhouse of global growth. The size of the region’s economy has nearly tripled over the past quarter of a century, up from USD 8.5 trillion in 1997 to over USD 35 trillion in 20211. China rose from the world’s seventh largest economy in 1997 to second today. ASEAN has overtaken the US to become China’s largest trading partner.
While APAC is at the forefront of global innovation and consumption, the region also leads when it comes to investments in renewable energy, with new technologies and a growing commitment to achieving net zero carbon emissions by mid-century promising to transform its economies, enterprises and markets. At the same time, APAC faces demographic shifts with an aging population and is among the most vulnerable to the effects of climate change. These forces are driving a metamorphosis with profound implications for investors everywhere.
Over the next four days, more than 90 speakers across 50 keynotes and panel sessions will deliver unique insights into how Asia’s metamorphosis will unfold and the risks and opportunities that lie ahead for the region’s economies.
The speakers at this year’s AIC are renowned thought leaders, government and business leaders, entrepreneurs, Nobel Prize laureates and academics covering a broad spectrum of topics – from the metaverse and sustainable infrastructure to macroeconomic developments such as inflation and monetary policy.
These inspirational and keynote speakers include:
Award-winning actor, author and activist Michael J. Fox, who will explain why there’s ‘no time like the future’ to channel our energies towards building a life of resilience and hope.
Tennis champion, philanthropist and Credit Suisse Global Brand Ambassador Roger Federer, sharing how he has maintained a competitive edge throughout his incredible career.
Dr Condoleezza Rice, US Secretary of State (2005-2009), providing her unique perspective on how the recent geopolitical developments may unfold and what role international capital will play in influencing the outcome.
Indra Nooyi, former Chairman & CEO of PepsiCo, speaking on how companies can embrace diversity to reach their full potential.
Sian Proctor, the first African American woman to pilot a spacecraft, who will share her inspirational journey to breaking down the barriers she faced and achieving impossible goals.
Professor Sir David King, former Chief Scientific Advisor, United Kingdom and Head of the Climate Crisis Advisory Group, offering a scientific perspective on the disruption to come in the battle against global warming.
James Bullard, President and CEO of the Federal Reserve Bank of Saint Louis, shedding light on the future of inflation and interest rates.
Justin Yifu Lin, Honorary Dean, National School of Development, Peking University, Councilor of the State Council and member of the Standing Committee, Chinese People’s Political Consultation Conference, assessing China’s comparative advantages over the next decade.
Nicolas Aguzin, CEO of Hong Kong Exchanges and Clearing, elaborating on the forces that will have the most influence over the next 25 years of investing in the region.
Mo Gawdat, author, Founder of One Billion Happy and former Chief Business Officer at Google X, covering how artificial intelligence will transform our world.
Eswar Prasad, Cornell University’s Senior Professor of Trade Policy, and Senior Fellow at the Brookings Institution, examining whether the future of money will be a new dawn or a nightmare.
Blythe Masters, Credit Suisse Board Member and CEO of Motive Capital, discussing how financial institutions are approaching the rise of digital assets.
This year’s AIC will also take a deep dive into the metaverse and digital assets, from gaming to hardware, with notable speakers including:
Alexis Ohanian, a pioneering founder and investor, who will explore the potential of Web 3.
Yat Siu, Chairman of Animoca brands, speaking about the future of gaming environments.
Jon Radoff, author, game designer, and CEO and Founder of Beamable, discussing how companies will build ‘meta-prises’ over the next 25 years.
Throughout the week, Credit Suisse’s leading research analysts will host media briefing sessions on a number of timely thematic and sectoral investment themes, namely:
Energy transition and China renewables, and what it means to transition to carbon neutrality.
Electric vehicles (EV) value chain, how cost inflation impacts the EV market;
All things digital, including the metaverse; and
Global and Asian equity investment strategy.
For more information about the AIC speakers, the agenda, interviews, coverage of the conference, and video highlights, please check out the AIC Website and Media Program.
Please note that selected keynote addresses and panels will be open to media representatives, who are required to reference the 25th Credit Suisse Asian Investment Conference when quoting any speaker at the AIC.",https://www.credit-suisse.com/articles/media-releases/2022/03/en/credit-suisse-celebrates-25th-year-of-asian-investment-conference.html
7,Credit Suisse publishes answers to Ethos Foundation information request,Ad hoc announcement pursuant to article 53 LR,Zurich,04.04.2022,"Credit Suisse Group AG today published the answers provided to Ethos Foundation and other shareholders following an information request concerning the supply chain finance funds and the ""Suisse Secrets"" (also referred to as ""Swiss Leaks"") matters.
As announced on March 30, 2022, the answers provided to Ethos Foundation are publicly available at: www.credit-suisse.com/agm.",https://www.credit-suisse.com/articles/media-releases/2022/04/en/cs-publishes-answers-to-ethos-foundation-information-request.html
8,Credit Suisse publishes agenda for the 2022 Annual General Meeting of Shareholders,Ad hoc announcement pursuant to article 53 LR,Zurich,30.03.2022,"Credit Suisse Group AG today published the agenda for the Annual General Meeting of Shareholders (AGM), which will take place on April 29, 2022. As previously communicated, this year’s AGM will be held without the personal attendance of shareholders.
Credit Suisse invites shareholders to join the AGM through a live webcast that will be broadcast on www.credit-suisse.com/agm. Shareholders are requested to vote in advance by giving a power of attorney and voting instructions to the independent proxy. The respective deadline is April 26, 2022. The voting results will be published on www.credit-suisse.com/agm shortly after the AGM. Shareholders can submit questions ahead of the AGM via an online speakers’ desk, which will remain open until April 26, 2022.
The agenda for the 2022 AGM, published today by the Board of Directors of Credit Suisse Group AG (Board), includes but is not limited to:
Proposal on discharge of the members of the Board and the Executive Board for both the 2020 and 2021 financial years, excluding discharge in relation to the supply chain finance funds (SCFF) matter.
Proposal for a distribution of a dividend to shareholders of CHF 0.10 per share for the financial year 2021.
Creation of authorized capital.
Proposal for the election of Axel P. Lehmann as Chairman of the Board as well as the election of three new non-executive members of the Board, Mirko Bianchi, Keyu Jin and Amanda Norton.
Approval of the compensation of the Board and the Executive Board, as well as a consultative vote on the 2021 Compensation Report.
Shareholder proposal for a special audit.
Shareholder proposal for an amendment of the Articles of Association of Credit Suisse Group AG relating to the bank’s climate change strategy and disclosures (fossil fuel assets).
The invitation and agenda for the 2022 AGM are available on the Credit Suisse website at: www.credit-suisse.com/agm.
Discharge of the members of the Board and Executive Board for the 2020 and 2021 financial year, excluding the SCFF matter
The Board proposes that the members of the Board and the Executive Board be granted discharge for the 2020 and 2021 financial years, excluding all issues related to the SCFF matter. As a result of the Archegos and SCFF matters, the Board withdrew its proposal on the discharge of the members of the Board and the Executive Board for the 2020 financial year from the 2021 AGM agenda. The proposal was to be considered once the investigations into the two matters were completed. The investigation into both matters has been completed and the report relating to the Archegos matter was published. However, due to the ongoing process to recover investors’ funds, the legal complexities of the SCFF matter, as well as an ongoing regulatory investigation by FINMA, the Board does not intend to publish the related report. It therefore does not recommend proposing discharge with respect to this matter until the related processes are largely concluded.
Dividend distribution
As previously announced, the Board will propose to shareholders that a total cash dividend of CHF 0.10 per share be distributed for the financial year 2021. This is consistent with the reduced dividend paid for the financial year 2020, and we believe it reflects a prudent capital distribution approach for a challenging year.
Creation of authorized capital
Consistent with past practice, the Board proposes to reintroduce authorized share capital amounting to a maximum of CHF 5 million (equivalent to 125,000,000 registered shares) in order to preserve strategic and financial flexibility, including for a further development of business activities, and ensure a sufficient reserve of authorized capital, in line with regulatory expectations.
Changes to the Board
As previously announced, the Board is proposing Axel P. Lehmann for election as Chairman of the Board, and Mirko Bianchi, Keyu Jin and Amanda Norton for election as non-executive members of the Board, for a term until the end of the next AGM, with Amanda Norton joining the Board on July 1, 2022. The appointment of these three non-executive members of the Board is subject to regulatory approval.
Severin Schwan, Kai S. Nargolwala and Juan Colombas will not stand for re-election at the AGM.
All other members of the Board will stand for re-election for a further term of office of one year.
Approval of the compensation of the Board and the Executive Board and consultative vote on the 2021 Compensation Report
In accordance with the requirements of the Ordinance against Excessive Compensation with respect to Listed Stock Corporations, shareholders will vote separately, and with binding effect, on the overall compensation of the Board and the Executive Board at the AGM. The Board proposes that shareholders approve a maximum aggregate compensation for the Board of CHF 13.0 million for the period from the 2022 AGM to the 2023 AGM in a prospective vote.
The Board further proposes that shareholders approve the aggregate amount of CHF 8.6 million for short-term variable incentive compensation for the Executive Board for the 2021 financial year in a retrospective vote and the maximum aggregate amount of CHF 34.0 million of fixed compensation for the Executive Board for the period from the 2022 AGM to the 2023 AGM in a prospective vote. The Board also proposes that shareholders approve the aggregate amount of CHF 12.1 million for share-based replacement awards for new Executive Board members who joined the bank in 2022.
Consistent with the practice in prior years, the 2021 Compensation Report, which is part of Credit Suisse Group AG’s Annual Report, will be presented to shareholders for a consultative vote.
Shareholder proposal for a special audit
In March 2022, the Board received a proposal from Ethos Foundation and other shareholders requesting information and that a special audit be conducted in connection with the SCFF and the “Suisse Secrets” (also referred to as “Swiss Leaks”) matters. The Board has responded to the request for information with answers, which will be available on the Credit Suisse website at: www.credit-suisse.com/agm in the week of April 4, 2022. In light of the ongoing recovery processes in the SCFF matter, as well as legal and regulatory complexities, the Board believes that a special audit would, at this stage, be detrimental to Credit Suisse and that additional, related disclosure would prejudice the outcome of the recovery processes in particular. The Board therefore recommends that shareholders should not approve this specific proposal.
Shareholder proposal for an amendment of the Articles of Association of Credit Suisse Group AG relating to the bank’s climate change strategy and disclosures (fossil fuel assets)
The Board has received a shareholder proposal from Ethos Foundation and ShareAction on behalf of 11 institutional investors relating to Credit Suisse’s climate change strategy and disclosures. The specific focus of the proposal is on alignment, disclosure and reporting in relation to the oil, gas and coal sectors. The request proposes that the Articles of Association of Credit Suisse Group AG be amended to include a new article. While the Board agrees with the objectives of this proposal, it does not believe that these additional disclosures should be effectuated by means of an amendment to the Articles of Association of the bank. The Board has already resolved to include the additional disclosures requested in the shareholder proposal in Credit Suisse’s 2022 Sustainability Report (or Task Force on Climate-related Financial Disclosures (TCFD) disclosures) and to submit the 2022 Sustainability Report (or TCFD disclosures) for a consultative vote to shareholders at the 2023 AGM. In addition, Credit Suisse has decided to introduce new restrictions related to the financing of oil sands, deep-sea mining and Arctic oil and gas. Furthermore, due to newly introduced Swiss law reporting obligations on non-financial matters, which go into effect for the 2023 financial year, the Board intends to propose the required changes to the Articles of Association at the 2023 AGM. The Board therefore recommends that shareholders should vote against this proposal.
1Q22 Earnings Release
Credit Suisse expects to announce its financial results for the first quarter of 2022 on April 27, 2022.",https://www.credit-suisse.com/articles/media-releases/2022/03/en/agm-2022-invitation.html
9,Decision by a Court in Bermuda,,Zurich,29.03.2022,"Credit Suisse Group takes note of the Bermuda Supreme Court’s judgment against a local life insurance subsidiary of Credit Suisse AG, Credit Suisse Life Bermuda, and refers to its press release of March 23, 2022.
The judgment relates to life insurance policies of one client of Credit Suisse Life Bermuda. The life insurance subsidiary has been closed to new business and in wind-down for more than seven years and has no other material business that will be affected by this judgment.
The judgment is not yet final and is subject to appeal, which Credit Suisse Life Bermuda intends to vigorously pursue.",https://www.credit-suisse.com/articles/media-releases/2022/03/en/decision-court-bermuda.html
